continent,country,city,download_dir,process_name_prefix
Africa,Algeria,Algeria,data\Africa\Algeria\Algeria,Algeria
Africa,Angola,Angola,data\Africa\Angola\Angola,Angola
Africa,Benin,Benin,data\Africa\Benin\Benin,Benin
Africa,Botswana,Botswana,data\Africa\Botswana\Botswana,Botswana
Africa,BurkinaFaso,BurkinaFaso,data\Africa\BurkinaFaso\BurkinaFaso,BurkinaFaso
Africa,Burundi,Burundi,data\Africa\Burundi\Burundi,Burundi
Africa,Cameroon,Cameroon,data\Africa\Cameroon\Cameroon,Cameroon
Africa,Central_African_Republic,Central_African_Republic,data\Africa\Central_African_Republic\Central_African_Republic,Central
Africa,Chad,Chad,data\Africa\Chad\Chad,Chad
Africa,Comoros,Comoros,data\Africa\Comoros\Comoros,Comoros
Africa,Congo(DRC),Congo(DRC),data\Africa\Congo(DRC)\Congo(DRC),Congo(DRC)
Africa,Djibouti,Djibouti,data\Africa\Djibouti\Djibouti,Djibouti
Africa,Egypt,Egypt,data\Africa\Egypt\Egypt,Egypt
Africa,Equatorial_Guinea,Equatorial_Guinea,data\Africa\Equatorial_Guinea\Equatorial_Guinea,Equatorial
Africa,Eritrea,Eritrea,data\Africa\Eritrea\Eritrea,Eritrea
Africa,Ethiopia,Ethiopia,data\Africa\Ethiopia\Ethiopia,Ethiopia
Africa,Gabon,Gabon,data\Africa\Gabon\Gabon,Gabon
Africa,Ghana,Ghana,data\Africa\Ghana\Ghana,Ghana
Africa,Guinea,Guinea,data\Africa\Guinea\Guinea,Guinea
Africa,GuineaBissau,GuineaBissau,data\Africa\GuineaBissau\GuineaBissau,GuineaBissau
Africa,Israel,Israel,data\Africa\Israel\Israel,Israel
Africa,Ivory_Coast,Ivory_Coast,data\Africa\Ivory_Coast\Ivory_Coast,Ivory
Africa,Lesotho,Lesotho,data\Africa\Lesotho\Lesotho,Lesotho
Africa,Liberia,Liberia,data\Africa\Liberia\Liberia,Liberia
Africa,Libya,Libya,data\Africa\Libya\Libya,Libya
Africa,Madagascar,Madagascar,data\Africa\Madagascar\Madagascar,Madagascar
Africa,Malawi,Malawi,data\Africa\Malawi\Malawi,Malawi
Africa,Mali,Mali,data\Africa\Mali\Mali,Mali
Africa,Mauritania,Mauritania,data\Africa\Mauritania\Mauritania,Mauritania
Africa,Mauritius,Mauritius,data\Africa\Mauritius\Mauritius,Mauritius
Africa,Mayotte,Mayotte,data\Africa\Mayotte\Mayotte,Mayotte
Africa,Morocco,Morocco,data\Africa\Morocco\Morocco,Morocco
Africa,Mozambique,Mozambique,data\Africa\Mozambique\Mozambique,Mozambique
Africa,Namibia,Namibia,data\Africa\Namibia\Namibia,Namibia
Africa,Niger,Niger,data\Africa\Niger\Niger,Niger
Africa,Republic_of_the_Congo,Republic_of_the_Congo,data\Africa\Republic_of_the_Congo\Republic_of_the_Congo,Republic
Africa,Reunion,Reunion,data\Africa\Reunion\Reunion,Reunion
Africa,Rwanda,Rwanda,data\Africa\Rwanda\Rwanda,Rwanda
Africa,Senegal,Senegal,data\Africa\Senegal\Senegal,Senegal
Africa,Seychelles,Seychelles,data\Africa\Seychelles\Seychelles,Seychelles
Africa,Sierra_Leone,Sierra_Leone,data\Africa\Sierra_Leone\Sierra_Leone,Sierra
Africa,Somalia,Somalia,data\Africa\Somalia\Somalia,Somalia
Africa,South_Africa,South_Africa,data\Africa\South_Africa\South_Africa,South
Africa,South_Sudan,South_Sudan,data\Africa\South_Sudan\South_Sudan,South
Africa,Sudan,Sudan,data\Africa\Sudan\Sudan,Sudan
Africa,Swaziland,Swaziland,data\Africa\Swaziland\Swaziland,Swaziland
Africa,Tanzania,Tanzania,data\Africa\Tanzania\Tanzania,Tanzania
Africa,The_Gambia,The_Gambia,data\Africa\The_Gambia\The_Gambia,The
Africa,Togo,Togo,data\Africa\Togo\Togo,Togo
Africa,Tunisia,Tunisia,data\Africa\Tunisia\Tunisia,Tunisia
Africa,Uganda,Uganda,data\Africa\Uganda\Uganda,Uganda
Africa,Zambia,Zambia,data\Africa\Zambia\Zambia,Zambia
Africa,Zimbabwe,Zimbabwe,data\Africa\Zimbabwe\Zimbabwe,Zimbabwe
America,Anguilla,Anguilla,data\America\Anguilla\Anguilla,Anguilla
America,Antigua_and_Barbuda,Antigua_and_Barbuda,data\America\Antigua_and_Barbuda\Antigua_and_Barbuda,Antigua
America,Argentina,Argentina,data\America\Argentina\Argentina,Argentina
America,Aruba,Aruba,data\America\Aruba\Aruba,Aruba
America,Barbados,Barbados,data\America\Barbados\Barbados,Barbados
America,Belize,Belize,data\America\Belize\Belize,Belize
America,Bolivia,Bolivia,data\America\Bolivia\Bolivia,Bolivia
America,Bonaire,Bonaire,data\America\Bonaire\Bonaire,Bonaire
America,Brazil,Brazil,data\America\Brazil\Brazil,Brazil
America,British_Virgin_Islands,British_Virgin_Islands,data\America\British_Virgin_Islands\British_Virgin_Islands,British
America,Canada,Canada,data\America\Canada\Canada,Canada
America,Chile,Chile,data\America\Chile\Chile,Chile
America,Colombia,Colombia,data\America\Colombia\Colombia,Colombia
America,Costa_Rica,Costa_Rica,data\America\Costa_Rica\Costa_Rica,Costa
America,Cuba,Cuba,data\America\Cuba\Cuba,Cuba
America,Curacao,Curacao,data\America\Curacao\Curacao,Curacao
America,Dominica,Dominica,data\America\Dominica\Dominica,Dominica
America,Dominican_Republic,Dominican_Republic,data\America\Dominican_Republic\Dominican_Republic,Dominican
America,Ecuador,Ecuador,data\America\Ecuador\Ecuador,Ecuador
America,El_Salvador,El_Salvador,data\America\El_Salvador\El_Salvador,El
America,Guatemala,Guatemala,data\America\Guatemala\Guatemala,Guatemala
America,Guyana,Guyana,data\America\Guyana\Guyana,Guyana
America,Haiti,Haiti,data\America\Haiti\Haiti,Haiti
America,Honduras,Honduras,data\America\Honduras\Honduras,Honduras
America,Jamaica,Jamaica,data\America\Jamaica\Jamaica,Jamaica
America,Mexico,Mexico,data\America\Mexico\Mexico,Mexico
America,Nicaragua,Nicaragua,data\America\Nicaragua\Nicaragua,Nicaragua
America,Panama,Panama,data\America\Panama\Panama,Panama
America,Paraguay,Paraguay,data\America\Paraguay\Paraguay,Paraguay
America,Peru,Peru,data\America\Peru\Peru,Peru
America,Puerto_Rico,Puerto_Rico,data\America\Puerto_Rico\Puerto_Rico,Puerto
America,Suriname,Suriname,data\America\Suriname\Suriname,Suriname
America,The_Bahamas,The_Bahamas,data\America\The_Bahamas\The_Bahamas,The
America,United_States_of_America,Alabama,data\America\United_States_of_America\Alabama,Alabama
